Network,Type,enabled_0x_prefix,endpoint_URL,Health_Status,Block_Height
Mainnet,RPC,N,https://rpc.xdcrpc.com,Active,76467771
Mainnet,RPC,N,https://rpc1.xinfin.network,Inactive,Invalid Response
Mainnet,RPC,Y,https://erpc.xdcrpc.com,Active,76467771
Mainnet,RPC,Y,https://earpc.xinfin.network,Active,76467771
Mainnet,RPC,N,https://rpc.ankr.com/xdc,Active,76467771
Mainnet,RPC,N,https://api.tatum.io/v3/blockchain/node/xdc-mainnet,Inactive,Invalid Response
Mainnet,RPC,N,https://rpc.xinfin.network,Active,76467771
Mainnet,RPC,N,https://rpc.xdc.org,Inactive,76321135
Mainnet,RPC,Y,https://erpc.xinfin.network,Active,76467771
Mainnet,RPC,N,https://rpc-xdc.icecreamswap.com,Inactive,Invalid Response
Mainnet,RPC,Y,https://rpc.primenumbers.xyz,Active,76467771
Mainnet,WSS,N,wss://rpc.xdcrpc.com/ws,Active,76467771
Mainnet,WSS,Y,wss://erpc.xdcrpc.com/ws,Active,76467771
Mainnet,WSS,Y,wss://ews.xinfin.network/ws,Active,76467771
Apothem,RPC,Y,https://erpc.apothem.network,Active,64706005
Apothem,RPC,N,https://apothem.xdcrpc.com,Active,64706005
Apothem,RPC,Y,https://earpc.apothem.network,Active,64706005
Apothem,RPC,Y,https://erpc.apothem.network,Active,64706005
Apothem,RPC,N,https://rpc.apothem.network,Active,64706004
Apothem,WSS,Y,wss://eaws.apothem.network,Active,64706005
